;Temperatura;;Pressão;;Volume;
{ temperatura:;24,4;, pressao:;2;, volume:;0,9;},
{ temperatura:;25;, pressao:;2;, volume:;0,9;},
{ temperatura:;25,5;, pressao:;2;, volume:;0,9;},
{ temperatura:;26,1;, pressao:;2;, volume:;0,8;},
{ temperatura:;26,6;, pressao:;2;, volume:;0,8;},
{ temperatura:;27,2;, pressao:;2;, volume:;0,8;},
{ temperatura:;27,7;, pressao:;2;, volume:;0,8;},
{ temperatura:;28,3;, pressao:;2;, volume:;0,8;},
{ temperatura:;28,8;, pressao:;2;, volume:;0,8;},
{ temperatura:;29,4;, pressao:;2;, volume:;0,8;},
{ temperatura:;30;, pressao:;2;, volume:;0,8;},
{ temperatura:;30,8;, pressao:;2;, volume:;0,7;},
{ temperatura:;31,1;, pressao:;2;, volume:;0,7;},
{ temperatura:;31,6;, pressao:;2;, volume:;0,7;},
{ temperatura:;32,2;, pressao:;2;, volume:;0,7;},
{ temperatura:;0;, pressao:;4;, volume:;2,2;},
{ temperatura:;0,5;, pressao:;4;, volume:;2,1;},
{ temperatura:;1,1;, pressao:;4;, volume:;2,1;},
{ temperatura:;1,6;, pressao:;4;, volume:;2;},
{ temperatura:;2,2;, pressao:;4;, volume:;2;},
{ temperatura:;2,7;, pressao:;4;, volume:;2;},
{ temperatura:;3,3;, pressao:;4;, volume:;1,9;},
{ temperatura:;3,8;, pressao:;4;, volume:;1,9;},
{ temperatura:;4,4;, pressao:;4;, volume:;1,9;},
{ temperatura:;5;, pressao:;4;, volume:;1,8;},
{ temperatura:;5,5;, pressao:;4;, volume:;1,8;},
{ temperatura:;6,1;, pressao:;4;, volume:;1,7;},
{ temperatura:;6,6;, pressao:;4;, volume:;1,7;},
{ temperatura:;7,2;, pressao:;4;, volume:;1,7;},
{ temperatura:;7,7;, pressao:;4;, volume:;1,6;},
{ temperatura:;8,3;, pressao:;4;, volume:;1,6;},
{ temperatura:;8,8;, pressao:;4;, volume:;1,6;},
{ temperatura:;9,4;, pressao:;4;, volume:;1,5;},
{ temperatura:;10;, pressao:;4;, volume:;1,5;},
{ temperatura:;10,5;, pressao:;4;, volume:;1,5;},
{ temperatura:;11,1;, pressao:;4;, volume:;1,5;},
{ temperatura:;11,6;, pressao:;4;, volume:;1,4;},
{ temperatura:;12,2;, pressao:;4;, volume:;1,4;},
{ temperatura:;12,7;, pressao:;4;, volume:;1,4;},
{ temperatura:;13,3;, pressao:;4;, volume:;1,4;},
{ temperatura:;13,8;, pressao:;4;, volume:;1,3;},
{ temperatura:;14,4;, pressao:;4;, volume:;1,3;},
{ temperatura:;15;, pressao:;4;, volume:;1,3;},
{ temperatura:;15,5;, pressao:;4;, volume:;1,3;},
{ temperatura:;16,1;, pressao:;4;, volume:;1,2;},
{ temperatura:;16,6;, pressao:;4;, volume:;1,2;},
{ temperatura:;17,2;, pressao:;4;, volume:;1,2;},
{ temperatura:;17,7;, pressao:;4;, volume:;1,2;},
{ temperatura:;18,3;, pressao:;4;, volume:;1,2;},
{ temperatura:;18,8;, pressao:;4;, volume:;1,2;},
{ temperatura:;19,4;, pressao:;4;, volume:;1,1;},
{ temperatura:;20;, pressao:;4;, volume:;1,1;},
{ temperatura:;20,5;, pressao:;4;, volume:;1,1;},
{ temperatura:;21,1;, pressao:;4;, volume:;1,1;},
{ temperatura:;21,6;, pressao:;4;, volume:;1,1;},
{ temperatura:;22,2;, pressao:;4;, volume:;1,1;},
{ temperatura:;22,7;, pressao:;4;, volume:;1;},
{ temperatura:;23,3;, pressao:;4;, volume:;1;},
{ temperatura:;23,8;, pressao:;4;, volume:;1;},
{ temperatura:;24,4;, pressao:;4;, volume:;1;},
{ temperatura:;25;, pressao:;4;, volume:;1;},
{ temperatura:;25,5;, pressao:;4;, volume:;1;},
{ temperatura:;26,1;, pressao:;4;, volume:;0,9;},
{ temperatura:;26,6;, pressao:;4;, volume:;0,9;},
